Date,Open,High,Low,Close,Volume,RSI,SmoothedMA
2022-12-14,145.350006,146.660004,141.160004,143.210007,142,,
2022-12-15,141.110001,141.800003,136.029999,136.500000,135,,
2022-12-16,136.690002,137.649994,133.729996,134.509995,133,,
2022-12-19,135.110001,135.199997,131.320007,132.369995,131,,
2022-12-20,131.389999,133.250000,129.889999,132.300003,131,,
2022-12-21,132.979996,136.809998,132.750000,135.449997,134,,
2022-12-22,134.350006,134.559998,130.300003,132.229996,131,,
2022-12-23,130.919998,132.419998,129.639999,131.860001,131,,
2022-12-27,131.380005,131.410004,128.720001,130.029999,129,,
2022-12-28,129.669998,131.029999,125.870003,126.040001,125,,
2022-12-29,127.989998,130.479996,127.730003,129.610001,128,,
2022-12-30,128.410004,129.949997,127.430000,129.929993,129,,
2023-01-03,130.279999,130.899994,124.169998,125.070000,124,,
2023-01-04,126.889999,128.660004,125.080002,126.360001,125,,
2023-01-05,127.129997,127.769997,124.760002,125.019997,124,,130.21428441836733
2023-01-06,126.010002,130.289993,124.889999,129.619995,128,,130.14999845408164
2023-01-09,130.470001,133.410004,129.889999,130.149994,129,,130.15867162755103
2023-01-10,130.259995,131.259995,128.119995,130.729996,130,,130.23101841836737
2023-01-11,131.250000,133.509995,130.460007,133.490005,132,,130.50887605102042
2023-01-12,133.880005,134.259995,131.440002,133.410004,132,,130.7749478877551
2023-01-13,132.029999,134.919998,131.660004,134.759995,134,,131.14785578061225
2023-01-17,134.830002,137.289993,134.130005,135.940002,135,,131.59214172959184
2023-01-18,136.820007,138.610001,135.029999,135.210007,134,,131.96346884693878
2023-01-19,134.080002,136.250000,133.770004,135.270004,134,,132.31265285204083
2023-01-20,135.279999,138.020004,134.220001,137.869995,137,,132.80045864795918
2023-01-23,138.119995,143.320007,137.899994,141.110001,140,,133.47755061734694
2023-01-24,140.309998,143.160004,140.300003,142.529999,141,,134.19903015816328
2023-01-25,140.889999,142.429993,138.809998,141.860001,141,,134.78357107142858
2023-01-26,143.169998,144.250000,141.899994,143.960007,143,92.52527980819384,135.43903078061226
2023-01-27,143.160004,147.229996,143.080002,145.929993,145,91.44512138728321,136.13857107142857
2023-01-30,144.960007,145.550003,142.850006,143.000000,142,92.1024811810168,136.545611872449
2023-01-31,142.699997,144.339996,142.279999,144.289993,143,79.08965575971678,136.9792337755102
2023-02-01,143.970001,146.610001,141.320007,145.429993,144,77.52295850522036,137.42510059183675
2023-02-02,148.899994,151.179993,148.169998,150.820007,149,79.06192376281564,138.19505010204082
2023-02-03,148.029999,157.380005,147.830002,154.500000,153,82.48386406722597,139.1390297091837
2023-02-06,152.570007,153.100006,150.779999,151.729996,150,84.09261288678866,139.78443757653062
2023-02-07,150.639999,155.229996,150.639999,154.649994,153,78.2296665353041,140.55785553571428
2023-02-08,153.880005,154.580002,151.169998,151.919998,151,80.1681227696904,141.0370901734694
2023-02-09,153.779999,154.330002,150.419998,150.869995,150,71.78296051920645,141.3563756479592
2023-02-10,149.460007,151.339996,149.220001,151.009995,150,66.23419801116313,141.61933459183678
2023-02-13,150.949997,154.259995,150.919998,153.850006,153,64.73245433353961,142.03464129081635
2023-02-14,152.119995,153.770004,150.860001,153.199997,152,69.36996148981856,142.34576363775514
2023-02-15,153.110001,155.500000,152.880005,155.330002,154,65.661,142.75117207653062
2023-02-16,153.509995,156.330002,153.350006,153.710007,153,65.84626260691202,142.9828564081633
2023-02-17,152.350006,153.000000,150.850006,152.550003,151,68.88888724279953,143.0919893622449
2023-02-21,150.199997,151.300003,148.410004,148.479996,147,64.63501175335306,142.86168302551022
2023-02-22,148.869995,149.949997,147.160004,148.910004,148,54.89566481762671,142.64071397959188
2023-02-23,150.089996,150.339996,147.240005,149.399994,148,46.35356893212007,142.43698906122452
2023-02-24,147.110001,147.190002,145.720001,146.710007,146,38.913044896028396,142.04836717857145
2023-02-27,147.710007,149.169998,147.449997,147.919998,147,39.0488958274151,141.78591808673474
2023-02-28,147.050003,149.080002,146.830002,147.410004,146,34.134855973166665,141.506479617347
2023-03-01,146.830002,147.229996,145.009995,145.309998,144,38.12534741962141,141.11397944387758
2023-03-02,144.380005,146.710007,143.899994,145.910004,145,36.12775684160197,140.7980613316327
2023-03-03,148.039993,151.110001,147.330002,151.029999,150,37.56100544911845,140.87316322448984
2023-03-06,153.789993,156.300003,153.460007,153.830002,153,43.81034378538328,141.14816327040822
2023-03-07,153.699997,154.029999,151.130005,151.600006,150,51.26354839037048,141.26397994897965
2023-03-08,152.809998,153.470001,151.830002,152.869995,152,42.54894390255654,141.47867334693885
2023-03-09,153.559998,154.539993,150.229996,150.589996,149,48.2981912138002,141.5430607295919
2023-03-10,150.210007,150.940002,147.610001,148.500000,147,46.201532552110244,141.47408110714292
2023-03-13,147.809998,153.139999,147.699997,150.470001,149,50.04198999494542,141.56647912244904
2023-03-14,151.279999,153.399994,150.100006,152.589996,151,53.07570956460371,141.80015226530617
2023-03-15,151.190002,153.250000,149.919998,152.990005,152,55.90960904792817,142.04362201020413
2023-03-16,152.160004,156.460007,151.639999,155.850006,155,62.71255685227279,142.47306115816332
2023-03-17,156.080002,156.740005,154.279999,155.000000,154,65.04745922104719,142.7951529438776
2023-03-20,155.070007,157.820007,154.149994,157.399994,156,64.21879998360438,143.25255041326537
2023-03-21,157.320007,159.399994,156.539993,159.279999,158,72.39718503045017,143.793264617347
2023-03-22,159.300003,162.139999,157.809998,157.830002,157,73.64697595036208,144.1591320918368
2023-03-23,158.830002,161.550003,157.679993,158.929993,158,63.82114936546117,144.54275403571435
2023-03-24,158.860001,160.339996,157.850006,160.250000,159,61.13536173985137,144.98035610204087
2023-03-27,159.940002,160.770004,157.869995,158.279999,157,69.6680262246595,145.24448871938782
2023-03-28,157.970001,158.490005,155.979996,157.649994,157,61.92155910783969,145.4295393826531
2023-03-29,159.369995,161.050003,159.350006,160.770004,160,66.77755540777353,145.81306015306126
2023-03-30,161.529999,162.470001,161.270004,162.360001,161,77.79789707504592,146.25821332142863
2023-03-31,162.440002,165.000000,161.910004,164.899994,164,77.40892146793054,146.8140802704082
2023-04-03,164.270004,166.289993,164.220001,166.169998,165,77.83805764771942,147.38703937755105
2023-04-04,166.600006,166.839996,165.110001,165.630005,164,78.67708157319852,147.8521418316327
2023-04-05,164.740005,165.050003,161.800003,163.759995,163,73.66891960277064,148.11918234693886
2023-04-06,162.429993,164.960007,162.000000,164.660004,163,70.20293397506745,148.41015213265314
2023-04-10,161.419998,162.029999,160.080002,162.029999,161,67.98811220324735,148.46397868367353
2023-04-11,162.350006,162.360001,160.509995,160.800003,160,56.569510533720425,148.4063259030613
2023-04-12,161.220001,162.059998,159.779999,160.100006,159,57.170444201867305,148.29091821428577
